obs_id,species_id,location_id,time_id,edible,observation_count,media_count
12167422,12,304,217,,1,1
12193205,18,305,218,,1,1
12210034,18,306,218,,1,1
12239051,9,307,219,,1,1
12284817,29,308,220,,1,1
12300235,30,309,221,,1,1
12300262,9,310,222,,1,1
12322274,9,311,223,,1,1
12480821,3,312,224,,1,1
12483149,39,313,44,,1,1
12538497,40,314,225,1.0,1,1
12650568,9,315,226,,1,1
12707565,18,316,227,,1,1
12708105,18,317,227,,1,1
12708483,36,318,227,,1,1
12794734,36,319,228,,1,1
12854085,9,320,229,,1,1
12854107,9,321,229,,1,1
12919933,4,322,230,,1,1
12949202,39,323,231,,1,1
12988319,39,324,232,,1,1
12988335,4,325,232,,1,1
13014638,36,326,231,,1,1
13014640,36,327,231,,1,1
13014641,20,328,231,,1,1
13014643,40,329,231,1.0,1,1
13052179,9,330,233,,1,1
13071974,18,331,232,,1,1
13114861,7,332,234,,1,1
13137121,7,333,234,,1,1
13151487,70,334,235,,1,1
13168881,29,335,236,,1,1
13168882,7,336,236,,1,1
13213731,39,337,237,,1,1
13229266,29,338,238,,1,1
13256045,36,339,239,,1,1
13268923,39,340,240,,1,1
13273389,29,341,241,,1,1
13279895,40,342,241,1.0,1,1
13280009,40,343,241,1.0,1,1
13280033,9,344,241,,1,1
13280809,9,345,241,,1,1
13280824,9,346,241,,1,1
13281029,29,347,241,,1,1
13335179,29,348,242,,1,1
13389097,30,349,243,,1,1
13389639,29,350,244,,1,1
13408814,36,351,144,,1,1
13446321,40,352,242,1.0,1,1
13446527,9,353,245,,1,1
13499839,3,354,246,,1,1
13508502,9,355,246,,1,1
13510398,30,356,246,,1,1
13534941,4,357,44,,1,1
13543730,66,358,247,,1,1
13545579,30,359,246,,1,1
13564130,4,360,247,,1,1
13645460,11,361,151,1.0,1,1
13677143,71,362,248,,1,1
13730622,9,363,249,,1,1
13737766,9,364,249,,1,1
13740248,45,365,236,,1,1
13771291,46,366,250,1.0,1,1
13881082,57,367,251,,1,1
13945111,39,368,252,,1,1
13954200,18,369,253,,1,1
14010012,9,370,254,,1,1
14069128,4,371,255,,1,1
14225422,4,372,256,,1,1
14262557,9,373,257,,1,1
14262559,9,373,257,,1,1
14345083,9,374,258,,1,1
14422745,36,375,259,,1,1
14515643,18,376,260,,1,1
14565677,36,377,261,,1,1
14568450,6,378,227,,1,1
14578255,18,379,262,,1,1
14600915,9,380,263,,1,1
14604230,30,381,264,,1,1
14634017,4,382,265,,1,1
14653916,18,383,266,,1,1
14655271,50,384,209,,1,0
14655273,3,384,209,,1,0
14655274,1,384,209,,1,0
14656093,36,385,267,,1,0
14656095,36,386,267,,1,0
14667397,9,387,268,,1,1
14667405,72,387,268,,1,1
14667408,1,387,268,,1,1
14749007,30,388,269,,1,1
14749016,12,389,270,,1,1
14749733,73,390,271,,1,0
14749737,12,390,271,,1,0
14749764,7,391,271,,1,0
14749772,3,391,271,,1,0
14749773,11,391,271,1.0,1,0
14757571,29,392,272,,1,1
14758038,34,393,273,0.0,1,1
